Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
CHROM,10,69.5989,69.0824,15.8878,18.0,56.28394473558837,30,0.49402731095185803,1.6231872168795924e-06
CHROM,101,69.959,69.0824,8.8265,18.0,56.28394473558837,30,0.5122779726899844,7.794279805033295e-07
CHROM,104,43.2377,69.0824,15.8878,18.0,56.28394473558837,30,0.28922414243095684,2.5774252533364047e-05
CHROM,107,60.5946,69.0824,15.8878,18.0,56.28394473558837,30,0.5186026293550134,7.550695770621893e-06
CHROM,108,71.777,69.0824,14.1225,18.0,56.28394473558837,30,0.3962643799127472,4.916553294690628e-06
CHROM,109,41.797,69.0824,14.1225,18.0,56.28394473558837,30,0.3669181258988029,1.1535663759078783e-05
CHROM,135,66.4259,69.0824,8.8265,18.0,56.28394473558837,30,0.3871978109002445,3.5923441958931564e-05
CHROM,151,60.3373,69.0824,12.3572,18.0,56.28394473558837,30,0.48391126374452953,4.9439579278560726e-05
CHROM,18,72.3259,69.0824,8.8265,18.0,56.28394473558837,30,0.21230222422894318,0.0001597495275653186
CHROM,188,41.4197,69.0824,14.1225,18.0,56.28394473558837,30,0.34208520605124815,1.0228944267105972e-05
CHROM,199,43.9409,69.0824,8.8265,18.0,56.28394473558837,30,0.34475911409656,4.656834862985971e-06
CHROM,266,69.8904,69.0824,14.1225,18.0,56.28394473558837,30,0.5812330053395378,7.60433771815182e-05
CHROM,280,72.7032,69.0824,14.1225,18.0,56.28394473558837,30,0.4010377270215907,4.07662559508556e-05
CHROM,299,109.7323,69.0824,15.8878,18.0,56.28394473558837,30,0.3142833675742006,7.43095661958063e-05
CHROM,330,69.496,69.0824,12.3572,18.0,56.28394473558837,30,0.48952366848251405,8.027326446485738e-05
CHROM,333,45.9304,69.0824,8.8265,18.0,56.28394473558837,30,0.3337749593335243,2.1866975056714904e-05
CHROM,336,69.4788,69.0824,15.8878,18.0,56.28394473558837,30,0.40111280964641427,3.3783056154933616e-06
CHROM,337,68.364,69.0824,14.1225,18.0,56.28394473558837,30,0.283624147529711,7.55714865288852e-05
CHROM,338,75.9447,69.0824,12.3572,18.0,56.28394473558837,30,0.3538361694675929,5.703674499972239e-06
CHROM,347,52.0362,69.0824,17.6531,18.0,56.28394473558837,30,0.3045201364522283,5.789906141223388e-05
CHROM,36,70.4221,69.0824,8.8265,18.0,56.28394473558837,30,0.36938537083011347,3.0951703648632405e-05
CHROM,364,102.2716,69.0824,10.5919,18.0,56.28394473558837,30,0.35999409798753057,3.5994120573034998e-06
CHROM,4,69.5303,69.0824,15.8878,18.0,56.28394473558837,30,0.47159499238328717,6.701467095268107e-05
CHROM,50,52.1906,69.0824,8.8265,18.0,56.28394473558837,30,0.6144296318399667,6.882575124198344e-05
CHROM,6,58.2449,69.0824,8.8265,18.0,56.28394473558837,30,0.3254556177294795,1.6496885865254778e-05
CHROM,69,62.5326,69.0824,10.5919,18.0,56.28394473558837,30,0.25787390867667936,2.0076205938850512e-05
CHROM,9,69.4788,69.0824,8.8265,18.0,56.28394473558837,30,0.5521832347998549,0.00011360508019907234
GBGR,10,47.1653,69.0824,15.8878,18.0,56.28394473558837,30,0.2877843294198118,4.772551505197181e-06
GBGR,101,69.6675,69.0824,10.5919,18.0,56.28394473558837,30,0.5060842111913344,0.00010543696846391124
GBGR,104,77.1453,69.0824,15.8878,18.0,56.28394473558837,30,0.3194282129654116,1.3541589819038541e-05
GBGR,107,60.2687,69.0824,14.1225,18.0,56.28394473558837,30,0.550556399292565,2.1959387331789137e-05
GBGR,108,71.5198,69.0824,14.1225,18.0,56.28394473558837,30,0.4710053566182907,4.613824869625044e-05
GBGR,109,79.8552,69.0824,12.3572,18.0,56.28394473558837,30,0.4040586772843513,2.6666162307001133e-08
GBGR,135,42.1401,69.0824,8.8265,18.0,56.28394473558837,30,0.5036226383993063,1.2172496859797832e-05
GBGR,151,60.1315,69.0824,10.5919,18.0,56.28394473558837,30,0.5237130576900242,6.477577615592706e-06
GBGR,18,46.102,69.0824,8.8265,18.0,56.28394473558837,30,0.44752136095715456,3.831104839782511e-05
GBGR,188,41.111,69.0824,10.5919,18.0,56.28394473558837,30,0.2713871957075926,7.334983424337824e-05
