Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
GBGR,347,43.8121,62.3785,0,30.0,60.0,10,0.5888007498268313,9.395482192310209e-05
GBGR,36,134.7383,62.3785,0,30.0,60.0,10,0.49939568647364097,0.0005750446194760973
GBGR,364,41.7181,62.3785,0,30.0,60.0,10,0.41131150688065443,6.311531063616768e-05
GBGR,4,61.4497,62.3785,0,30.0,60.0,10,0.6312520954501699,0.00046661829802036145
GBGR,50,54.0403,62.3785,0,30.0,60.0,10,0.5231504998455359,0.0008532910152940916
GBGR,6,43.3289,62.3785,0,30.0,60.0,10,0.7347312742250247,0.0015658319370995073
GBGR,69,46.3893,62.3785,0,30.0,60.0,10,0.541303032009165,0.0003964933130493754
GBGR,9,43.0067,62.3785,0,30.0,60.0,10,0.5193686512472449,2.6189687134984945e-05
GREEN,10,125.4765,62.3785,0,30.0,60.0,10,0.5278203479235914,0.00015636714929191236
GREEN,101,52.349,62.3785,0,30.0,60.0,10,0.3914855374162032,0.0009196585089410336
GREEN,104,46.3087,62.3785,0,30.0,60.0,10,0.5956468728298341,0.0026432049537228196
GREEN,107,36.8859,62.3785,0,30.0,60.0,10,0.5380340873299879,0.0004764798632963656
GREEN,108,146.5772,62.3785,0,30.0,60.0,10,0.37073435615461514,0.0010379616352028964
GREEN,109,46.6309,62.3785,0,30.0,60.0,10,0.4910780179630142,0.0003168868228206943
GREEN,135,81.2617,62.3785,0,30.0,60.0,10,0.35081546650839646,6.966620005244887e-05
GREEN,151,131.1141,62.3785,0,30.0,60.0,10,0.41866183207274,0.0004270764355418616
GREEN,18,50.094,62.3785,0,30.0,60.0,10,0.5212157048993304,0.0004639918834159744
GREEN,188,57.906,62.3785,0,30.0,60.0,10,0.41448684672046143,0.0012560775312864536
GREEN,199,119.6779,62.3785,0,30.0,60.0,10,0.4164446100994429,0.0004717524688573623
GREEN,266,127.651,62.3785,0,30.0,60.0,10,0.3830207496363216,0.0003318371655115233
GREEN,280,127.4899,62.3785,0,30.0,60.0,10,0.5577607654900182,0.0011567531649868412
GREEN,299,134.4966,62.3785,0,30.0,60.0,10,0.4229024027038657,0.0006178747826388497
GREEN,330,133.6913,62.3785,0,30.0,60.0,10,0.35706919034826157,0.0010395531544844842
GREEN,333,50.4161,62.3785,0,30.0,60.0,10,0.4437859026708487,1.7909864609543805e-05
GREEN,336,60.6443,62.3785,0,30.0,60.0,10,0.5278694725073794,0.0003763763387193964
GREEN,337,90.2013,62.3785,0,30.0,60.0,10,0.4769318769439397,0.0004764603013817687
GREEN,338,139.651,62.3785,0,30.0,60.0,10,0.5721804542582952,9.989428043069383e-05
GREEN,347,75.8658,62.3785,0,30.0,60.0,10,0.44191434971593635,0.0007053647013700848
GREEN,36,50.8188,62.3785,0,30.0,60.0,10,0.6002537086782218,0.0007514827284554439
GREEN,364,118.5503,62.3785,0,30.0,60.0,10,0.3855141500803364,8.583400708416677e-05
GREEN,4,125.9597,62.3785,0,30.0,60.0,10,0.48246835925998977,9.433826739998798e-05
GREEN,50,37.1275,62.3785,0,30.0,60.0,10,0.3208775288074338,7.230585572978363e-05
GREEN,6,61.3691,62.3785,0,30.0,60.0,10,0.5188826673924116,0.00028606194208005394
GREEN,69,133.6107,62.3785,0,30.0,60.0,10,0.3868041192142,0.00048595309561861444
GREEN,9,126.6846,62.3785,0,30.0,60.0,10,0.7136644631805343,2.8398383760931895e-05
ICA,10,61.6913,62.3785,0,30.0,60.0,10,0.5016835284039602,0.00010637027577145554
ICA,101,128.6174,62.3785,0,30.0,60.0,10,0.39647857167167355,5.8520728458167826e-05
